_x_bin,_y_bin,Center_Lat,Center_Lon,n_records,Sources,Station_Names,Source_Names,Source_Files
-98451,49380,44.35905497664391,-124.96448497644893,3,bottle,Oregon Offshore BEP,Oregon Offshore BEP,bottle_data
-98451,49381,44.359953287818904,-124.96448497644893,3,bottle,Oregon Offshore BEP,Oregon Offshore BEP,bottle_data
-98449,49392,44.3698347107438,-124.96194635074411,25,bottle,Oregon Offshore Shallow Profiler,Oregon Offshore Shallow Profiler,bottle_data
-98449,49394,44.37163133309378,-124.96194635074411,25,bottle,Oregon Offshore Shallow Profiler,Oregon Offshore Shallow Profiler,bottle_data
-98449,49397,44.37432626661876,-124.96194635074411,41,bottle,Oregon Offshore Shallow Profiler - 500 m W,Oregon Offshore Shallow Profiler - 500 m W,bottle_data
-98447,49392,44.3698347107438,-124.95940772503928,20,bottle,Oregon Offshore Deep Profiler - 250 m E,Oregon Offshore Deep Profiler - 250 m E,bottle_data
-98447,49396,44.373427955443766,-124.95940772503928,27,bottle,Oregon Offshore Shallow Profiler - 250 m W,Oregon Offshore Shallow Profiler - 250 m W,bottle_data
-98447,49397,44.37432626661876,-124.95940772503928,54,bottle,Oregon Offshore Shallow Profiler - 250 m W,Oregon Offshore Shallow Profiler - 250 m W,bottle_data
-98446,49394,44.37163133309378,-124.95813841218687,27,bottle,Oregon Offshore Deep Profiler,Oregon Offshore Deep Profiler,bottle_data
-98445,49396,44.373427955443766,-124.95686909933445,32,bottle,Oregon Offshore Shallow Profiler,Oregon Offshore Shallow Profiler,bottle_data
-98445,49397,44.37432626661876,-124.95686909933445,10,"bottle, zarr","Axial Base Shallow Profiler, CE04OSPS, Oregon Offshore Shallow Profiler","Axial Base Shallow Profiler, CE04OSPS-PC01B-4A-CTDPFA109-streamed-ctdpf_optode_sample, CE04OSPS-SF01B-2A-CTDPFA107-streamed-ctdpf_sbe43_sample, Oregon Offshore Shallow Profiler","bottle_data, oregon_offshore_fixed_20150108_20260708_1h_qf49_HITL, oregon_offshore_profiles_20150803_20260604_qf49_HITL, oregon_offshore_profiles_20150803_20260604_qf49_HITL_binned_24h"
-98444,49388,44.36624146604384,-124.95559978648204,35,bottle,"Oregon Offshore Deep Profiler - 250 m SW, Oregon Offshore Deep Profiler - 500 m SW","Oregon Offshore Deep Profiler - 250 m SW, Oregon Offshore Deep Profiler - 500 m SW",bottle_data
-98444,49396,44.373427955443766,-124.95559978648204,3,bottle,Oregon Offshore Shallow Profiler,Oregon Offshore Shallow Profiler,bottle_data
-98444,49397,44.37432626661876,-124.95559978648204,3,bottle,Axial Base Shallow Profiler,Axial Base Shallow Profiler,bottle_data
-98443,49397,44.37432626661876,-124.95433047362962,16,bottle,Oregon Offshore Shallow Profiler - 600 m E,Oregon Offshore Shallow Profiler - 600 m E,bottle_data
-98443,49398,44.375224577793745,-124.95433047362962,41,bottle,Oregon Offshore Shallow Profiler - 250 m NE,Oregon Offshore Shallow Profiler - 250 m NE,bottle_data
-98442,49390,44.36803808839382,-124.95306116077722,18,"bottle, zarr","CE04OSPD, Oregon Offshore Deep Profiler","CE04OSPD-DP01B-01-CTDPFL105-recovered_inst-dpc_ctd_instrument_recovered, Oregon Offshore Deep Profiler","bottle_data, oregon_offshore_deep_profiles_20150724_20250810_qf49_HITL, oregon_offshore_deep_profiles_20150724_20250810_qf49_HITL_binned_24h"
-98442,49391,44.36893639956881,-124.95306116077722,7,"bottle, zarr","CE04OSBP, Oregon Offshore BEP","CE04OSBP-LJ01C-06-CTDBPO108-streamed-ctdbp_no_sample, Oregon Offshore BEP","bottle_data, oregon_offshore_seafloor_fixed_20150101_20260803_1h_qf49_HITL_phadv"
-98442,49392,44.3698347107438,-124.95306116077722,18,bottle,"Oregon Offshore BEP, Oregon Offshore Deep Profiler","Oregon Offshore BEP, Oregon Offshore Deep Profiler",bottle_data
-98442,49395,44.37252964426877,-124.95306116077722,20,bottle,Oregon Offshore Deep Profiler,Oregon Offshore Deep Profiler,bottle_data
-98442,49396,44.373427955443766,-124.95306116077722,31,bottle,Oregon Offshore Shallow Profiler - 250 m E,Oregon Offshore Shallow Profiler - 250 m E,bottle_data
-98442,49400,44.37702120014373,-124.95306116077722,27,bottle,Oregon Offshore Shallow Profiler,Oregon Offshore Shallow Profiler,bottle_data
-98441,49395,44.37252964426877,-124.95179184792481,23,bottle,Oregon Offshore Deep Profiler,Oregon Offshore Deep Profiler,bottle_data
-98441,49396,44.373427955443766,-124.95179184792481,21,bottle,Oregon Offshore Shallow Profiler,Oregon Offshore Shallow Profiler,bottle_data
-98440,49390,44.36803808839382,-124.9505225350724,25,bottle,Oregon Offshore Deep Profiler - 200 m E,Oregon Offshore Deep Profiler - 200 m E,bottle_data
-98440,49395,44.37252964426877,-124.9505225350724,23,bottle,Oregon Offshore Deep Profiler,Oregon Offshore Deep Profiler,bottle_data
-98440,49397,44.37432626661876,-124.9505225350724,62,bottle,Oregon Offshore Shallow Profiler - 500 m E,Oregon Offshore Shallow Profiler - 500 m E,bottle_data
-98438,49386,44.36444484369385,-124.94798390936757,23,bottle,Oregon Offshore Deep Profiler,Oregon Offshore Deep Profiler,bottle_data
-97934,49686,44.63393819619116,-124.3082502317516,3,bottle,Oregon Shelf BEP,Oregon Shelf BEP,bottle_data
-97933,49686,44.63393819619116,-124.3069809188992,3,bottle,Oregon Shelf BEP,Oregon Shelf BEP,bottle_data
-97932,49689,44.63663312971613,-124.30571160604678,2,bottle,Oregon Shelf BEP,Oregon Shelf BEP,bottle_data
-97932,49690,44.637531440891124,-124.30571160604678,22,"bottle, zarr","CE02SHBP, Oregon Shelf BEP, Oregon Shelf BEP - 20 m NW","CE02SHBP-LJ01D-06-CTDBPN106-streamed-ctdbp_no_sample, Oregon Shelf BEP, Oregon Shelf BEP - 20 m NW","bottle_data, oregon_shelf_seafloor_fixed_20150101_20260804_1h_qf49_HITL_phadv"
-97931,49689,44.63663312971613,-124.30444229319437,12,bottle,Oregon Shelf BEP - 70 m NE,Oregon Shelf BEP - 70 m NE,bottle_data
