Start Latitude [degrees],Start Longitude [degrees],CTD Depth [m],Start Time [UTC]
45.83033,-129.7565,20.085,2015-07-08 16:56:17+00:00
45.83033,-129.7565,39.937,2015-07-08 16:56:17+00:00
45.83033,-129.7565,40.183,2015-07-08 16:56:17+00:00
45.83033,-129.7565,60.539,2015-07-08 16:56:17+00:00
45.83033,-129.7565,60.696,2015-07-08 16:56:17+00:00
45.83033,-129.7565,80.421,2015-07-08 16:56:17+00:00
45.83033,-129.7565,80.712,2015-07-08 16:56:17+00:00
45.83033,-129.7565,99.56,2015-07-08 16:56:17+00:00
45.83033,-129.7565,99.834,2015-07-08 16:56:17+00:00
45.83033,-129.7565,119.75,2015-07-08 16:56:17+00:00
45.83033,-129.7565,119.918,2015-07-08 16:56:17+00:00
45.83033,-129.7565,140.001,2015-07-08 16:56:17+00:00
45.83033,-129.7565,140.221,2015-07-08 16:56:17+00:00
45.83033,-129.7565,159.738,2015-07-08 16:56:17+00:00
45.83033,-129.7565,160.085,2015-07-08 16:56:17+00:00
45.83033,-129.7565,179.365,2015-07-08 16:56:17+00:00
45.83033,-129.7565,179.63,2015-07-08 16:56:17+00:00
45.83033,-129.7565,199.472,2015-07-08 16:56:17+00:00
45.83033,-129.7565,199.891,2015-07-08 16:56:17+00:00
45.83033,-129.7565,219.609,2015-07-08 16:56:17+00:00
45.83033,-129.7565,219.929,2015-07-08 16:56:17+00:00
45.83033,-129.7565,10.11,2015-07-08 18:24:34+00:00
45.83033,-129.7565,10.273,2015-07-08 18:24:34+00:00
45.83033,-129.7565,19.826,2015-07-08 18:24:34+00:00
45.83033,-129.7565,20.007,2015-07-08 18:24:34+00:00
45.83033,-129.7565,40.344,2015-07-08 18:24:34+00:00
45.83033,-129.7565,40.569,2015-07-08 18:24:34+00:00
45.83033,-129.7565,59.731,2015-07-08 18:24:34+00:00
45.83033,-129.7565,60.07,2015-07-08 18:24:34+00:00
45.83033,-129.7565,79.762,2015-07-08 18:24:34+00:00
45.83033,-129.7565,79.965,2015-07-08 18:24:34+00:00
45.83033,-129.7565,100.29,2015-07-08 18:24:34+00:00
45.83033,-129.7565,100.449,2015-07-08 18:24:34+00:00
45.83033,-129.7565,119.928,2015-07-08 18:24:34+00:00
45.83033,-129.7565,120.119,2015-07-08 18:24:34+00:00
45.83033,-129.7565,139.95,2015-07-08 18:24:34+00:00
45.83033,-129.7565,140.172,2015-07-08 18:24:34+00:00
45.83033,-129.7565,159.893,2015-07-08 18:24:34+00:00
45.83033,-129.7565,160.033,2015-07-08 18:24:34+00:00
45.83033,-129.7565,180.241,2015-07-08 18:24:34+00:00
45.83033,-129.7565,180.425,2015-07-08 18:24:34+00:00
45.83033,-129.7565,199.44,2015-07-08 18:24:34+00:00
45.83033,-129.7565,199.768,2015-07-08 18:24:34+00:00
45.83033,-129.7565,219.451,2015-07-08 18:24:34+00:00
45.83033,-129.7565,219.741,2015-07-08 18:24:34+00:00
45.83033,-129.75533,10.085,2015-07-13 15:25:35+00:00
45.83033,-129.75533,10.259,2015-07-13 15:25:35+00:00
45.83033,-129.75533,19.87,2015-07-13 15:25:35+00:00
45.83033,-129.75533,20.05,2015-07-13 15:25:35+00:00
45.83033,-129.75533,39.778,2015-07-13 15:25:35+00:00
45.83033,-129.75533,40.209,2015-07-13 15:25:35+00:00
45.83033,-129.75533,60.087,2015-07-13 15:25:35+00:00
45.83033,-129.75533,60.233,2015-07-13 15:25:35+00:00
45.83033,-129.75533,79.964,2015-07-13 15:25:35+00:00
45.83033,-129.75533,80.233,2015-07-13 15:25:35+00:00
45.83033,-129.75533,99.814,2015-07-13 15:25:35+00:00
45.83033,-129.75533,100.343,2015-07-13 15:25:35+00:00
45.83033,-129.75533,119.985,2015-07-13 15:25:35+00:00
45.83033,-129.75533,120.464,2015-07-13 15:25:35+00:00
45.83033,-129.75533,139.841,2015-07-13 15:25:35+00:00
45.83033,-129.75533,139.904,2015-07-13 15:25:35+00:00
45.83033,-129.75533,159.845,2015-07-13 15:25:35+00:00
45.83033,-129.75533,160.344,2015-07-13 15:25:35+00:00
45.83033,-129.75533,179.544,2015-07-13 15:25:35+00:00
45.83033,-129.75533,180.459,2015-07-13 15:25:35+00:00
45.83033,-129.75533,200.248,2015-07-13 15:25:35+00:00
45.83033,-129.75533,200.28,2015-07-13 15:25:35+00:00
45.83033,-129.75533,219.642,2015-07-13 15:25:35+00:00
45.83033,-129.75533,219.784,2015-07-13 15:25:35+00:00
45.83033,-129.75533,10.191,2015-07-13 17:03:53+00:00
45.83033,-129.75533,10.277,2015-07-13 17:03:53+00:00
45.83033,-129.75533,19.885,2015-07-13 17:03:53+00:00
45.83033,-129.75533,20.039,2015-07-13 17:03:53+00:00
45.83033,-129.75533,39.933,2015-07-13 17:03:53+00:00
45.83033,-129.75533,40.211,2015-07-13 17:03:53+00:00
45.83033,-129.75533,60.28,2015-07-13 17:03:53+00:00
45.83033,-129.75533,60.34,2015-07-13 17:03:53+00:00
45.83033,-129.75533,79.91,2015-07-13 17:03:53+00:00
45.83033,-129.75533,80.053,2015-07-13 17:03:53+00:00
45.83033,-129.75533,99.341,2015-07-13 17:03:53+00:00
45.83033,-129.75533,99.561,2015-07-13 17:03:53+00:00
45.83033,-129.75533,119.662,2015-07-13 17:03:53+00:00
45.83033,-129.75533,120.438,2015-07-13 17:03:53+00:00
45.83033,-129.75533,140.272,2015-07-13 17:03:53+00:00
45.83033,-129.75533,141.317,2015-07-13 17:03:53+00:00
45.83033,-129.75533,159.79,2015-07-13 17:03:53+00:00
45.83033,-129.75533,160.249,2015-07-13 17:03:53+00:00
45.83033,-129.75533,180.31,2015-07-13 17:03:53+00:00
45.83033,-129.75533,180.562,2015-07-13 17:03:53+00:00
45.83033,-129.75533,199.6,2015-07-13 17:03:53+00:00
45.83033,-129.75533,200.007,2015-07-13 17:03:53+00:00
45.83033,-129.75533,219.307,2015-07-13 17:03:53+00:00
45.83033,-129.75533,219.975,2015-07-13 17:03:53+00:00
45.83045,-129.75323,177.58,2015-07-13 19:52:00+00:00
45.83043,-129.7532,137.242,2015-07-13 19:52:00+00:00
45.83043,-129.75319,118.651,2015-07-13 19:52:00+00:00
45.83045,-129.75319,157.012,2015-07-13 19:52:00+00:00
44.52883,-125.39183,10.464,2015-07-16 16:27:35+00:00
44.52883,-125.39183,20.28,2015-07-16 16:27:35+00:00
44.52883,-125.39183,20.494,2015-07-16 16:27:35+00:00
44.52883,-125.39183,40.076,2015-07-16 16:27:35+00:00
44.52883,-125.39183,40.179,2015-07-16 16:27:35+00:00
44.52883,-125.39183,60.26,2015-07-16 16:27:35+00:00
44.52883,-125.39183,60.413,2015-07-16 16:27:35+00:00
44.52883,-125.39183,80.335,2015-07-16 16:27:35+00:00
44.52883,-125.39183,80.414,2015-07-16 16:27:35+00:00
44.52883,-125.39183,100.064,2015-07-16 16:27:35+00:00
44.52883,-125.39183,100.298,2015-07-16 16:27:35+00:00
44.52883,-125.39183,120.313,2015-07-16 16:27:35+00:00
44.52883,-125.39183,120.369,2015-07-16 16:27:35+00:00
44.52883,-125.39183,139.845,2015-07-16 16:27:35+00:00
44.52883,-125.39183,139.945,2015-07-16 16:27:35+00:00
44.52883,-125.39183,159.862,2015-07-16 16:27:35+00:00
44.52883,-125.39183,159.948,2015-07-16 16:27:35+00:00
44.52883,-125.39183,179.906,2015-07-16 16:27:35+00:00
44.52883,-125.39183,180.221,2015-07-16 16:27:35+00:00
44.52883,-125.39183,200.113,2015-07-16 16:27:35+00:00
44.52883,-125.39183,200.42,2015-07-16 16:27:35+00:00
44.52883,-125.39183,219.818,2015-07-16 16:27:35+00:00
44.52883,-125.39183,219.869,2015-07-16 16:27:35+00:00
44.52883,-125.39183,10.301,2015-07-16 17:52:10+00:00
44.52883,-125.39183,10.368,2015-07-16 17:52:10+00:00
44.52883,-125.39183,20.024,2015-07-16 17:52:10+00:00
44.52883,-125.39183,20.26,2015-07-16 17:52:10+00:00
44.52883,-125.39183,39.759,2015-07-16 17:52:10+00:00
44.52883,-125.39183,39.804,2015-07-16 17:52:10+00:00
44.52883,-125.39183,59.668,2015-07-16 17:52:10+00:00
44.52883,-125.39183,59.803,2015-07-16 17:52:10+00:00
44.52883,-125.39183,79.783,2015-07-16 17:52:10+00:00
44.52883,-125.39183,79.813,2015-07-16 17:52:10+00:00
44.52883,-125.39183,100.079,2015-07-16 17:52:10+00:00
44.52883,-125.39183,100.112,2015-07-16 17:52:10+00:00
44.52883,-125.39183,119.509,2015-07-16 17:52:10+00:00
44.52883,-125.39183,119.588,2015-07-16 17:52:10+00:00
44.52883,-125.39183,140.325,2015-07-16 17:52:10+00:00
44.52883,-125.39183,140.607,2015-07-16 17:52:10+00:00
44.52883,-125.39183,159.817,2015-07-16 17:52:10+00:00
44.52883,-125.39183,159.873,2015-07-16 17:52:10+00:00
44.52883,-125.39183,179.399,2015-07-16 17:52:10+00:00
44.52883,-125.39183,179.436,2015-07-16 17:52:10+00:00
44.52883,-125.39183,200.126,2015-07-16 17:52:10+00:00
44.52883,-125.39183,200.154,2015-07-16 17:52:10+00:00
44.52883,-125.39183,219.602,2015-07-16 17:52:10+00:00
44.52883,-125.39183,219.686,2015-07-16 17:52:10+00:00
44.52892,-125.38904,59.486,2015-07-16 20:49:00+00:00
44.52895,-125.38899,99.893,2015-07-16 20:49:00+00:00
44.52895,-125.38894,157.17,2015-07-16 20:49:00+00:00
44.5299,-125.38754,30.281,2015-07-16 20:49:00+00:00
44.52883,-125.39567,10.533,2015-07-16 22:39:54+00:00
44.52883,-125.39567,10.721,2015-07-16 22:39:54+00:00
44.52883,-125.39567,30.133,2015-07-16 22:39:54+00:00
44.52883,-125.39567,30.161,2015-07-16 22:39:54+00:00
44.52883,-125.39567,500.287,2015-07-16 22:39:54+00:00
44.52883,-125.39567,750.283,2015-07-16 22:39:54+00:00
44.52883,-125.39567,1000.04,2015-07-16 22:39:54+00:00
44.52883,-125.39567,1501.214,2015-07-16 22:39:54+00:00
44.52883,-125.39567,2501.535,2015-07-16 22:39:54+00:00
44.52883,-125.39567,2899.439,2015-07-16 22:39:54+00:00
44.52761,-125.38067,2889.495,2015-07-23 03:11:00+00:00
44.52766,-125.38065,2697.796,2015-07-23 03:11:00+00:00
44.52769,-125.38065,2797.576,2015-07-23 03:11:00+00:00
44.5276,-125.38057,2597.257,2015-07-23 03:11:00+00:00
44.52733,-125.37433,10.148,2015-07-23 06:37:48+00:00
44.52733,-125.37433,40.457,2015-07-23 06:37:48+00:00
44.52733,-125.37433,40.642,2015-07-23 06:37:48+00:00
44.52733,-125.37433,2400.424,2015-07-23 06:37:48+00:00
44.52733,-125.37433,2599.364,2015-07-23 06:37:48+00:00
44.52733,-125.37433,2800.342,2015-07-23 06:37:48+00:00
44.52733,-125.37433,2894.642,2015-07-23 06:37:48+00:00
44.36834,-124.95283,454.244,2015-07-24 22:02:00+00:00
44.36832,-124.95281,501.127,2015-07-24 22:02:00+00:00
44.36824,-124.95279,572.775,2015-07-24 22:02:00+00:00
44.36833,-124.95279,403.488,2015-07-24 22:02:00+00:00
44.36817,-124.95017,10.21,2015-07-25 00:35:28+00:00
44.36817,-124.95017,20.596,2015-07-25 00:35:28+00:00
44.36817,-124.95017,20.731,2015-07-25 00:35:28+00:00
44.36817,-124.95017,39.991,2015-07-25 00:35:28+00:00
44.36817,-124.95017,40.201,2015-07-25 00:35:28+00:00
44.36817,-124.95017,100.625,2015-07-25 00:35:28+00:00
44.36817,-124.95017,199.956,2015-07-25 00:35:28+00:00
44.36817,-124.95017,299.919,2015-07-25 00:35:28+00:00
44.36817,-124.95017,400.623,2015-07-25 00:35:28+00:00
44.36817,-124.95017,450.105,2015-07-25 00:35:28+00:00
44.36817,-124.95017,500.252,2015-07-25 00:35:28+00:00
44.36817,-124.95017,574.788,2015-07-25 00:35:28+00:00
45.83417,-129.759,10.09,2015-07-28 08:03:55+00:00
45.83417,-129.759,10.178,2015-07-28 08:03:55+00:00
45.83417,-129.759,40.248,2015-07-28 08:03:55+00:00
45.83417,-129.759,60.1,2015-07-28 08:03:55+00:00
45.83417,-129.759,60.171,2015-07-28 08:03:55+00:00
45.83417,-129.759,80.69,2015-07-28 08:03:55+00:00
45.83417,-129.759,300.088,2015-07-28 08:03:55+00:00
45.83417,-129.759,1000.248,2015-07-28 08:03:55+00:00
45.83417,-129.759,2499.735,2015-07-28 08:03:55+00:00
45.83417,-129.759,2500.194,2015-07-28 08:03:55+00:00
45.82968,-129.75904,2400.152,2015-07-28 18:49:00+00:00
45.8297,-129.75901,2476.273,2015-07-28 18:49:00+00:00
44.63717,-124.306,1.834,2015-07-31 09:46:26+00:00
44.63717,-124.306,1.946,2015-07-31 09:46:26+00:00
44.63717,-124.306,6.947,2015-07-31 09:46:26+00:00
44.63717,-124.306,7.155,2015-07-31 09:46:26+00:00
44.63717,-124.306,79.728,2015-07-31 09:46:26+00:00
44.63717,-124.306,79.781,2015-07-31 09:46:26+00:00
44.637,-124.305,2.298,2015-08-02 20:11:22+00:00
44.637,-124.305,2.56,2015-08-02 20:11:22+00:00
44.637,-124.305,7.178,2015-08-02 20:11:22+00:00
44.637,-124.305,7.246,2015-08-02 20:11:22+00:00
44.637,-124.305,79.921,2015-08-02 20:11:22+00:00
44.637,-124.305,79.941,2015-08-02 20:11:22+00:00
44.37417,-124.95433,2.533,2015-08-03 00:14:58+00:00
44.37417,-124.95433,2.712,2015-08-03 00:14:58+00:00
44.37417,-124.95433,7.284,2015-08-03 00:14:58+00:00
44.37417,-124.95433,7.301,2015-08-03 00:14:58+00:00
44.37417,-124.95433,200.48,2015-08-03 00:14:58+00:00
44.37417,-124.95433,200.663,2015-08-03 00:14:58+00:00
44.37417,-124.95433,567.743,2015-08-03 00:14:58+00:00
44.37417,-124.95433,568.133,2015-08-03 00:14:58+00:00
44.36967,-124.9525,7.059,2015-08-04 00:58:38+00:00
44.36967,-124.9525,7.141,2015-08-04 00:58:38+00:00
44.36967,-124.9525,25.157,2015-08-04 00:58:38+00:00
44.36967,-124.9525,25.181,2015-08-04 00:58:38+00:00
44.36967,-124.9525,190.324,2015-08-04 00:58:38+00:00
44.36967,-124.9525,190.345,2015-08-04 00:58:38+00:00
44.36967,-124.9525,576.044,2015-08-04 00:58:38+00:00
44.36967,-124.9525,576.223,2015-08-04 00:58:38+00:00
44.53694,-125.38888,10.239,2016-07-16 17:14:49+00:00
44.53694,-125.38888,20.947,2016-07-16 17:14:49+00:00
44.53694,-125.38888,40.433,2016-07-16 17:14:49+00:00
44.53694,-125.38888,60.23,2016-07-16 17:14:49+00:00
44.53694,-125.38888,80.164,2016-07-16 17:14:49+00:00
44.53694,-125.38888,100.087,2016-07-16 17:14:49+00:00
44.53694,-125.38888,119.871,2016-07-16 17:14:49+00:00
44.53694,-125.38888,139.787,2016-07-16 17:14:49+00:00
44.53694,-125.38888,160.774,2016-07-16 17:14:49+00:00
44.53694,-125.38888,180.549,2016-07-16 17:14:49+00:00
44.53694,-125.38888,200.628,2016-07-16 17:14:49+00:00
44.53694,-125.38888,221.905,2016-07-16 17:14:49+00:00
44.53694,-125.38555,10.088,2016-07-18 19:44:35+00:00
44.53694,-125.38555,20.02,2016-07-18 19:44:35+00:00
44.53694,-125.38555,40.07,2016-07-18 19:44:35+00:00
44.53694,-125.38555,59.794,2016-07-18 19:44:35+00:00
44.53694,-125.38555,80.058,2016-07-18 19:44:35+00:00
44.53694,-125.38555,99.548,2016-07-18 19:44:35+00:00
44.53694,-125.38555,120.079,2016-07-18 19:44:35+00:00
44.53694,-125.38555,140.135,2016-07-18 19:44:35+00:00
44.53694,-125.38555,160.264,2016-07-18 19:44:35+00:00
44.53694,-125.38555,179.641,2016-07-18 19:44:35+00:00
44.53694,-125.38555,199.893,2016-07-18 19:44:35+00:00
44.53694,-125.38555,220.178,2016-07-18 19:44:35+00:00
44.37944,-125.95555,9.966,2016-07-19 22:56:39+00:00
44.37944,-125.95555,20.041,2016-07-19 22:56:39+00:00
44.37944,-125.95555,39.639,2016-07-19 22:56:39+00:00
44.37944,-125.95555,60.253,2016-07-19 22:56:39+00:00
44.37944,-125.95555,79.85,2016-07-19 22:56:39+00:00
44.37944,-125.95555,100.02,2016-07-19 22:56:39+00:00
44.37944,-125.95555,120.377,2016-07-19 22:56:39+00:00
44.37944,-125.95555,140.148,2016-07-19 22:56:39+00:00
44.37944,-125.95555,179.713,2016-07-19 22:56:39+00:00
44.37944,-125.95555,200.096,2016-07-19 22:56:39+00:00
44.37944,-125.95555,400.302,2016-07-19 22:56:39+00:00
44.37944,-125.95555,550.124,2016-07-19 22:56:39+00:00
45.84194,-129.75916,10.201,2016-07-28 18:24:19+00:00
45.84194,-129.75916,19.93,2016-07-28 18:24:19+00:00
45.84194,-129.75916,40.195,2016-07-28 18:24:19+00:00
45.84194,-129.75916,60.088,2016-07-28 18:24:19+00:00
45.84194,-129.75916,79.984,2016-07-28 18:24:19+00:00
45.84194,-129.75916,99.743,2016-07-28 18:24:19+00:00
45.84194,-129.75916,119.884,2016-07-28 18:24:19+00:00
45.84194,-129.75916,140.057,2016-07-28 18:24:19+00:00
45.84194,-129.75916,160.167,2016-07-28 18:24:19+00:00
45.84194,-129.75916,179.916,2016-07-28 18:24:19+00:00
45.84194,-129.75916,200.234,2016-07-28 18:24:19+00:00
45.84194,-129.75916,220.897,2016-07-28 18:24:19+00:00
44.36972,-124.96,10.034,2016-08-07 06:50:42+00:00
44.36972,-124.96,20.314,2016-08-07 06:50:42+00:00
44.36972,-124.96,50.093,2016-08-07 06:50:42+00:00
44.36972,-124.96,109.898,2016-08-07 06:50:42+00:00
44.36972,-124.96,199.931,2016-08-07 06:50:42+00:00
44.36972,-124.96,250.102,2016-08-07 06:50:42+00:00
44.36972,-124.96,400.131,2016-08-07 06:50:42+00:00
44.36972,-124.96,540.006,2016-08-07 06:50:42+00:00
44.36972,-124.96,569.558,2016-08-07 06:50:42+00:00
44.37417,-124.95017,12.801,2017-07-28 19:06:26+00:00
44.37417,-124.95017,12.929,2017-07-28 19:06:26+00:00
44.37417,-124.95017,22.853,2017-07-28 19:06:26+00:00
44.37417,-124.95017,42.767,2017-07-28 19:06:26+00:00
44.37417,-124.95017,62.858,2017-07-28 19:06:26+00:00
44.37417,-124.95017,83.174,2017-07-28 19:06:26+00:00
44.37417,-124.95017,103.008,2017-07-28 19:06:26+00:00
44.37417,-124.95017,103.087,2017-07-28 19:06:26+00:00
44.37417,-124.95017,123.109,2017-07-28 19:06:26+00:00
44.37417,-124.95017,142.679,2017-07-28 19:06:26+00:00
44.37417,-124.95017,182.736,2017-07-28 19:06:26+00:00
44.37417,-124.95017,202.269,2017-07-28 19:06:26+00:00
44.37417,-124.95017,202.395,2017-07-28 19:06:26+00:00
44.37417,-124.95017,401.492,2017-07-28 19:06:26+00:00
44.37417,-124.95017,550.836,2017-07-28 19:06:26+00:00
45.83017,-129.74617,10.347,2017-07-30 11:01:22+00:00
45.83017,-129.74617,40.21,2017-07-30 11:01:22+00:00
45.83017,-129.74617,60.586,2017-07-30 11:01:22+00:00
45.83017,-129.74617,159.809,2017-07-30 11:01:22+00:00
45.83017,-129.74617,179.964,2017-07-30 11:01:22+00:00
45.83017,-129.74617,180.047,2017-07-30 11:01:22+00:00
45.83017,-129.74617,200.856,2017-07-30 11:01:22+00:00
45.83017,-129.74617,201.205,2017-07-30 11:01:22+00:00
45.83017,-129.74617,220.594,2017-07-30 11:01:22+00:00
45.83017,-129.74617,220.602,2017-07-30 11:01:22+00:00
45.83017,-129.74617,2602.948,2017-07-30 11:01:22+00:00
45.83017,-129.74617,2603.241,2017-07-30 11:01:22+00:00
45.8305,-129.74983,9.829,2017-08-01 08:30:45+00:00
45.8305,-129.74983,10.054,2017-08-01 08:30:45+00:00
45.8305,-129.74983,19.973,2017-08-01 08:30:45+00:00
45.8305,-129.74983,39.748,2017-08-01 08:30:45+00:00
45.8305,-129.74983,39.817,2017-08-01 08:30:45+00:00
45.8305,-129.74983,59.905,2017-08-01 08:30:45+00:00
45.8305,-129.74983,59.952,2017-08-01 08:30:45+00:00
45.8305,-129.74983,80.097,2017-08-01 08:30:45+00:00
45.8305,-129.74983,100.5,2017-08-01 08:30:45+00:00
45.8305,-129.74983,120.318,2017-08-01 08:30:45+00:00
45.8305,-129.74983,140.416,2017-08-01 08:30:45+00:00
45.8305,-129.74983,140.441,2017-08-01 08:30:45+00:00
45.8305,-129.74983,160.248,2017-08-01 08:30:45+00:00
45.8305,-129.74983,180.554,2017-08-01 08:30:45+00:00
45.8305,-129.74983,200.351,2017-08-01 08:30:45+00:00
45.8305,-129.74983,220.279,2017-08-01 08:30:45+00:00
44.51067,-125.3895,10.216,2017-08-03 13:11:04+00:00
44.51067,-125.3895,10.365,2017-08-03 13:11:04+00:00
44.51067,-125.3895,20.238,2017-08-03 13:11:04+00:00
44.51067,-125.3895,20.431,2017-08-03 13:11:04+00:00
44.51067,-125.3895,40.258,2017-08-03 13:11:04+00:00
44.51067,-125.3895,40.461,2017-08-03 13:11:04+00:00
44.51067,-125.3895,51.602,2017-08-03 13:11:04+00:00
44.51067,-125.3895,100.555,2017-08-03 13:11:04+00:00
44.51067,-125.3895,101.577,2017-08-03 13:11:04+00:00
44.51067,-125.3895,250.288,2017-08-03 13:11:04+00:00
44.51067,-125.3895,250.613,2017-08-03 13:11:04+00:00
44.51067,-125.3895,499.605,2017-08-03 13:11:04+00:00
44.51067,-125.3895,1000.757,2017-08-03 13:11:04+00:00
44.51067,-125.3895,1500.262,2017-08-03 13:11:04+00:00
44.51067,-125.3895,1999.768,2017-08-03 13:11:04+00:00
44.51067,-125.3895,2501.449,2017-08-03 13:11:04+00:00
44.51067,-125.3895,2501.783,2017-08-03 13:11:04+00:00
44.51067,-125.3895,2899.968,2017-08-03 13:11:04+00:00
44.51067,-125.3895,2900.118,2017-08-03 13:11:04+00:00
44.3755,-124.95417,10.176,2017-08-06 08:04:31+00:00
44.3755,-124.95417,10.214,2017-08-06 08:04:31+00:00
44.3755,-124.95417,20.049,2017-08-06 08:04:31+00:00
44.3755,-124.95417,20.215,2017-08-06 08:04:31+00:00
44.3755,-124.95417,40.093,2017-08-06 08:04:31+00:00
44.3755,-124.95417,40.204,2017-08-06 08:04:31+00:00
44.3755,-124.95417,60.12,2017-08-06 08:04:31+00:00
44.3755,-124.95417,80.151,2017-08-06 08:04:31+00:00
44.3755,-124.95417,80.367,2017-08-06 08:04:31+00:00
44.3755,-124.95417,100.076,2017-08-06 08:04:31+00:00
44.3755,-124.95417,100.293,2017-08-06 08:04:31+00:00
44.3755,-124.95417,119.75,2017-08-06 08:04:31+00:00
44.3755,-124.95417,139.813,2017-08-06 08:04:31+00:00
44.3755,-124.95417,139.992,2017-08-06 08:04:31+00:00
44.3755,-124.95417,159.98,2017-08-06 08:04:31+00:00
44.3755,-124.95417,179.992,2017-08-06 08:04:31+00:00
44.3755,-124.95417,199.699,2017-08-06 08:04:31+00:00
44.3755,-124.95417,200.101,2017-08-06 08:04:31+00:00
44.3755,-124.95417,219.763,2017-08-06 08:04:31+00:00
45.8305,-129.74683,2.352,2017-08-13 20:01:18+00:00
45.8305,-129.74683,10.276,2017-08-13 20:01:18+00:00
45.8305,-129.74683,20.085,2017-08-13 20:01:18+00:00
45.8305,-129.74683,45.347,2017-08-13 20:01:18+00:00
45.8305,-129.74683,79.815,2017-08-13 20:01:18+00:00
45.8305,-129.74683,99.56,2017-08-13 20:01:18+00:00
45.8305,-129.74683,199.658,2017-08-13 20:01:18+00:00
45.8305,-129.74683,953.817,2017-08-13 20:01:18+00:00
45.8305,-129.74683,1497.322,2017-08-13 20:01:18+00:00
45.8305,-129.74683,2599.026,2017-08-13 20:01:18+00:00
44.52917,-125.3925,10.148,2017-08-17 08:17:13+00:00
44.52917,-125.3925,10.556,2017-08-17 08:17:13+00:00
44.52917,-125.3925,20.032,2017-08-17 08:17:13+00:00
44.52917,-125.3925,40.325,2017-08-17 08:17:13+00:00
44.52917,-125.3925,40.51,2017-08-17 08:17:13+00:00
44.52917,-125.3925,60.691,2017-08-17 08:17:13+00:00
44.52917,-125.3925,80.551,2017-08-17 08:17:13+00:00
44.52917,-125.3925,101.201,2017-08-17 08:17:13+00:00
44.52917,-125.3925,121.261,2017-08-17 08:17:13+00:00
44.52917,-125.3925,139.309,2017-08-17 08:17:13+00:00
44.52917,-125.3925,160.203,2017-08-17 08:17:13+00:00
44.52917,-125.3925,180.277,2017-08-17 08:17:13+00:00
44.52917,-125.3925,200.777,2017-08-17 08:17:13+00:00
44.52917,-125.3925,220.276,2017-08-17 08:17:13+00:00
44.52917,-125.3925,220.391,2017-08-17 08:17:13+00:00
44.525,-125.39567,12.959,2018-06-26 20:23:04+00:00
44.525,-125.39567,13.2,2018-06-26 20:23:04+00:00
44.525,-125.39567,22.99,2018-06-26 20:23:04+00:00
44.525,-125.39567,42.396,2018-06-26 20:23:04+00:00
44.525,-125.39567,42.482,2018-06-26 20:23:04+00:00
44.525,-125.39567,62.311,2018-06-26 20:23:04+00:00
44.525,-125.39567,82.232,2018-06-26 20:23:04+00:00
44.525,-125.39567,102.72,2018-06-26 20:23:04+00:00
44.525,-125.39567,121.544,2018-06-26 20:23:04+00:00
44.525,-125.39567,141.856,2018-06-26 20:23:04+00:00
44.525,-125.39567,142.452,2018-06-26 20:23:04+00:00
44.525,-125.39567,162.053,2018-06-26 20:23:04+00:00
44.525,-125.39567,162.401,2018-06-26 20:23:04+00:00
44.525,-125.39567,181.966,2018-06-26 20:23:04+00:00
44.525,-125.39567,182.197,2018-06-26 20:23:04+00:00
44.525,-125.39567,202.454,2018-06-26 20:23:04+00:00
44.525,-125.39567,222.098,2018-06-26 20:23:04+00:00
45.83017,-129.74667,13.348,2018-07-02 20:59:24+00:00
