file,path,date_start,date_end,longitude_min,longitude_max,latitude_min,latitude_max,n_in_realm_points,longitude_variable,latitude_variable,time_variable
osu033-20091001T1659-delayed_oxy.nc,/Users/larissadias/Library/Mobile Documents/com~apple~CloudDocs/Documents/Python/LiveOcean/Gliders/glider_data/osu033-20091001T1659-delayed_oxy.nc,2009-10-01T17:00:33.999999986+00:00,2009-10-09T18:41:30.000002458+00:00,-125.12917818313493,-124.12874333333333,44.39341624741509,44.64567776714639,128567,lon,lat,time
osu033-20091103T1823-delayed_oxy.nc,/Users/larissadias/Library/Mobile Documents/com~apple~CloudDocs/Documents/Python/LiveOcean/Gliders/glider_data/osu033-20091103T1823-delayed_oxy.nc,2009-11-03T18:24:41.000003593+00:00,2009-11-12T17:29:01.999999432+00:00,-125.10335010624162,-124.10128833333336,44.59349753748917,44.71887625277693,146824,lon,lat,time
osu033-20091201T1801-delayed_oxy.nc,/Users/larissadias/Library/Mobile Documents/com~apple~CloudDocs/Documents/Python/LiveOcean/Gliders/glider_data/osu033-20091201T1801-delayed_oxy.nc,2009-12-01T18:02:41.000001803+00:00,2009-12-11T17:16:51.000001432+00:00,-125.09364786781929,-124.09238510284305,44.59399706704109,44.74024034354544,164433,lon,lat,time
osu033-20100204T2217-delayed_oxy.nc,/Users/larissadias/Library/Mobile Documents/com~apple~CloudDocs/Documents/Python/LiveOcean/Gliders/glider_data/osu033-20100204T2217-delayed_oxy.nc,2010-02-04T22:19:01.000003742+00:00,2010-02-17T23:30:10.000002755+00:00,-125.05445861381232,-124.09097482268372,44.60569763884606,44.97332993422323,209585,lon,lat,time
osu033-20100730T1745-delayed_oxy.nc,/Users/larissadias/Library/Mobile Documents/com~apple~CloudDocs/Documents/Python/LiveOcean/Gliders/glider_data/osu033-20100730T1745-delayed_oxy.nc,2010-07-30T17:47:40.999995096+00:00,2010-08-04T22:31:30.999999270+00:00,-125.11041342820468,-124.10098166666666,44.64544489880829,44.781527229703144,88846,lon,lat,time
osu033-20100930T2127-delayed_oxy.nc,/Users/larissadias/Library/Mobile Documents/com~apple~CloudDocs/Documents/Python/LiveOcean/Gliders/glider_data/osu033-20100930T2127-delayed_oxy.nc,2010-09-30T21:29:21.000003668+00:00,2010-10-02T00:26:58.999999392+00:00,-124.36124142484593,-124.10777833333336,44.6488,44.725184999999996,18637,lon,lat,time
osu033-20101107T1835-delayed_oxy.nc,/Users/larissadias/Library/Mobile Documents/com~apple~CloudDocs/Documents/Python/LiveOcean/Gliders/glider_data/osu033-20101107T1835-delayed_oxy.nc,2010-11-07T18:37:21.999999803+00:00,2010-11-25T16:21:52.000001593+00:00,-125.10713891544634,-124.1014700405704,44.576123150734844,44.808843123761356,254949,lon,lat,time
osu033-20110429T2134-delayed_oxy.nc,/Users/larissadias/Library/Mobile Documents/com~apple~CloudDocs/Documents/Python/LiveOcean/Gliders/glider_data/osu033-20110429T2134-delayed_oxy.nc,2011-04-29T21:34:40.999998+00:00,2011-05-23T16:55:13.000001013+00:00,-125.13430708452445,-124.09102520984827,44.26789046611615,44.83855293642705,898225,lon,lat,time
osu033-20110609T2005-delayed_oxy.nc,/Users/larissadias/Library/Mobile Documents/com~apple~CloudDocs/Documents/Python/LiveOcean/Gliders/glider_data/osu033-20110609T2005-delayed_oxy.nc,2011-06-09T20:05:45.999997480+00:00,2011-06-15T06:25:52.000000703+00:00,-125.10375886969373,-124.09338000000002,44.52596886956068,44.68434833333333,210160,lon,lat,time
osu033-20110627T1459-delayed_oxy.nc,/Users/larissadias/Library/Mobile Documents/com~apple~CloudDocs/Documents/Python/LiveOcean/Gliders/glider_data/osu033-20110627T1459-delayed_oxy.nc,2011-06-27T14:59:09.999999628+00:00,2011-07-01T06:30:13.000003248+00:00,-124.94483833333332,-124.1052833333333,44.598890418692896,44.69791937856685,142655,lon,lat,time
osu033-20110708T1658-delayed_oxy.nc,/Users/larissadias/Library/Mobile Documents/com~apple~CloudDocs/Documents/Python/LiveOcean/Gliders/glider_data/osu033-20110708T1658-delayed_oxy.nc,2011-07-08T16:58:48.999996183+00:00,2011-07-12T18:42:00.000000668+00:00,-124.59948000000001,-124.09961833333332,44.557742311896895,44.659626855584094,154133,lon,lat,time
osu033-20110720T1704-delayed_oxy.nc,/Users/larissadias/Library/Mobile Documents/com~apple~CloudDocs/Documents/Python/LiveOcean/Gliders/glider_data/osu033-20110720T1704-delayed_oxy.nc,2011-07-20T17:04:40.999998+00:00,2011-08-08T21:18:14.999995082+00:00,-125.13820035506717,-124.10255027578795,44.58084330082722,44.824314185400375,738693,lon,lat,time
osu033-20110826T2010-delayed_oxy.nc,/Users/larissadias/Library/Mobile Documents/com~apple~CloudDocs/Documents/Python/LiveOcean/Gliders/glider_data/osu033-20110826T2010-delayed_oxy.nc,2011-08-26T20:10:25.000002978+00:00,2011-09-14T18:28:20.000002607+00:00,-125.14819234068804,-124.0886011999342,44.64157270981766,44.84546692749264,740742,lon,lat,time
osu033-20110920T1738-delayed_oxy.nc,/Users/larissadias/Library/Mobile Documents/com~apple~CloudDocs/Documents/Python/LiveOcean/Gliders/glider_data/osu033-20110920T1738-delayed_oxy.nc,2011-09-20T17:38:01.000002842+00:00,2011-10-14T19:10:18.000004065+00:00,-125.12124418893521,-124.07001977887633,44.63519833333333,45.06601276854303,930148,lon,lat,time
