_x_bin,_y_bin,Center_Lat,Center_Lon,n_records,Sources,Station_Names,Source_Names,Source_Files
-19759,9910,44.5135645,-125.39859,21,bottle,Slope Base Shallow Profiler,Slope Base Shallow Profiler,bottle_data
-19759,9913,44.52703917,-125.39859,55,bottle,Slope Base Shallow Profiler - 500 m W,Slope Base Shallow Profiler - 500 m W,bottle_data
-19759,9914,44.53153072,-125.39859,29,bottle,Slope Base Shallow Profiler - 500 m W,Slope Base Shallow Profiler - 500 m W,bottle_data
-19758,9909,44.50907294,-125.3922434,39,bottle,Slope Base Junction Box LJ01A - 500 m S,Slope Base Junction Box LJ01A - 500 m S,bottle_data
-19758,9910,44.5135645,-125.3922434,17,"bottle, zarr","RS01SLBS, Slope Base Junction Box LJ01A, Slope Base Junction Box LJ01A - 250 m SW","RS01SLBS-LJ01A-12-CTDPFB101-streamed-ctdpf_optode_sample, Slope Base Junction Box LJ01A, Slope Base Junction Box LJ01A - 250 m SW","bottle_data, slope_base_seafloor_fixed_20150101_20260803_1h_qf49_HITL_phadv"
-19758,9912,44.52254761,-125.3922434,2,bottle,Slope Base Junction Box LJ01A - 250 m SW,Slope Base Junction Box LJ01A - 250 m SW,bottle_data
-19758,9913,44.52703917,-125.3922434,248,"bottle, zarr","RS01SBPS, Slope Base Shallow Profiler, Slope Base Shallow Profiler - 200 m W, Slope Base Shallow Profiler - 250 m W, Slope Base Shallow Profiler - 500 m SW","RS01SBPS-PC01A-4A-CTDPFA103-streamed-ctdpf_optode_sample, RS01SBPS-SF01A-2A-CTDPFA102-streamed-ctdpf_sbe43_sample, Slope Base Shallow Profiler, Slope Base Shallow Profiler - 200 m W, Slope Base Shallow Profiler - 250 m W, Slope Base Shallow Profiler - 500 m SW","bottle_data, slope_base_fixed_20150101_20260708_1h_qf49_HITL, slope_base_profiles_20150709_20260604_qf49_HITL, slope_base_profiles_20150709_20260604_qf49_HITL_binned_24h"
-19758,9914,44.53153072,-125.3922434,59,bottle,"Slope Base Shallow Profiler, Slope Base Shallow Profiler - 100 m W, Slope Base Shallow Profiler - 250 m W","Slope Base Shallow Profiler, Slope Base Shallow Profiler - 100 m W, Slope Base Shallow Profiler - 250 m W",bottle_data
-19757,9910,44.5135645,-125.3858968,30,bottle,Slope Base Junction Box LV01A - 100 m SE,Slope Base Junction Box LV01A - 100 m SE,bottle_data
-19757,9912,44.52254761,-125.3858968,26,bottle,Slope Base Shallow Profiler,Slope Base Shallow Profiler,bottle_data
-19757,9913,44.52703917,-125.3858968,6,bottle,Slope Base Shallow Profiler - 200 m W,Slope Base Shallow Profiler - 200 m W,bottle_data
-19757,9914,44.53153072,-125.3858968,33,bottle,"Slope Base Shallow Profiler, Slope Base Shallow Profiler - 200 m W","Slope Base Shallow Profiler, Slope Base Shallow Profiler - 200 m W",bottle_data
-19757,9915,44.53602228,-125.3858968,57,bottle,Slope Base Shallow Profiler - 250 m E,Slope Base Shallow Profiler - 250 m E,bottle_data
-19756,9913,44.52703917,-125.3795503,20,"bottle, zarr","Oregon Offshore Deep Profiler, RS01SBPD, Slope Base Deep Profiler","Oregon Offshore Deep Profiler, RS01SBPD-DP01A-01-CTDPFL104-recovered_inst-dpc_ctd_instrument_recovered, Slope Base Deep Profiler","bottle_data, slope_base_deep_profiles_20150722_20240217_qf49_HITL, slope_base_deep_profiles_20150722_20240217_qf49_HITL_binned_24h"
-19756,9914,44.53153072,-125.3795503,22,bottle,Slope Base Deep Profiler,Slope Base Deep Profiler,bottle_data
-19756,9915,44.53602228,-125.3795503,59,bottle,"Slope Base Shallow Profiler, Slope Base Shallow Profiler - 1300 m NE","Slope Base Shallow Profiler, Slope Base Shallow Profiler - 1300 m NE",bottle_data
-19755,9912,44.52254761,-125.3732037,46,bottle,Slope Base Deep Profiler,Slope Base Deep Profiler,bottle_data
-19755,9913,44.52703917,-125.3732037,48,bottle,"Slope Base Deep Profiler - 500 m E, Slope Base Deep Profiler - 750 m E","Slope Base Deep Profiler - 500 m E, Slope Base Deep Profiler - 750 m E",bottle_data
-19719,9922,44.56746317,-125.1447274,28,bottle,"Southern Hydrate Ridge, Southern Hydrate Ridge - 90 m E of plume","Southern Hydrate Ridge, Southern Hydrate Ridge - 90 m E of plume",bottle_data
-19719,9923,44.57195473,-125.1447274,3,bottle,"Southern Hydrate Ridge, Southern Hydrate Ridge - 100 m N of Einstein's Grotto","Southern Hydrate Ridge, Southern Hydrate Ridge - 100 m N of Einstein's Grotto",bottle_data
-19691,9876,44.3608516,-124.9670236,6,bottle,Oregon Offshore BEP,Oregon Offshore BEP,bottle_data
-19690,9878,44.36983471,-124.960677,97,bottle,"Oregon Offshore Deep Profiler, Oregon Offshore Deep Profiler - 250 m E, Oregon Offshore Shallow Profiler","Oregon Offshore Deep Profiler, Oregon Offshore Deep Profiler - 250 m E, Oregon Offshore Shallow Profiler",bottle_data
-19690,9879,44.37432627,-124.960677,122,bottle,"Oregon Offshore Shallow Profiler - 250 m W, Oregon Offshore Shallow Profiler - 500 m W","Oregon Offshore Shallow Profiler - 250 m W, Oregon Offshore Shallow Profiler - 500 m W",bottle_data
-19689,9877,44.36534315,-124.9543305,35,bottle,"Oregon Offshore Deep Profiler - 250 m SW, Oregon Offshore Deep Profiler - 500 m SW","Oregon Offshore Deep Profiler - 250 m SW, Oregon Offshore Deep Profiler - 500 m SW",bottle_data
-19689,9878,44.36983471,-124.9543305,43,"bottle, zarr","CE04OSBP, CE04OSPD, Oregon Offshore BEP, Oregon Offshore Deep Profiler","CE04OSBP-LJ01C-06-CTDBPO108-streamed-ctdbp_no_sample, CE04OSPD-DP01B-01-CTDPFL105-recovered_inst-dpc_ctd_instrument_recovered, Oregon Offshore BEP, Oregon Offshore Deep Profiler","bottle_data, oregon_offshore_deep_profiles_20150724_20250810_qf49_HITL, oregon_offshore_deep_profiles_20150724_20250810_qf49_HITL_binned_24h, oregon_offshore_seafloor_fixed_20150101_20260803_1h_qf49_HITL_phadv"
-19689,9879,44.37432627,-124.9543305,200,"bottle, zarr","Axial Base Shallow Profiler, CE04OSPS, Oregon Offshore Deep Profiler, Oregon Offshore Shallow Profiler, Oregon Offshore Shallow Profiler - 250 m E, Oregon Offshore Shallow Profiler - 250 m NE, Oregon Offshore Shallow Profiler - 600 m E","Axial Base Shallow Profiler, CE04OSPS-PC01B-4A-CTDPFA109-streamed-ctdpf_optode_sample, CE04OSPS-SF01B-2A-CTDPFA107-streamed-ctdpf_sbe43_sample, Oregon Offshore Deep Profiler, Oregon Offshore Shallow Profiler, Oregon Offshore Shallow Profiler - 250 m E, Oregon Offshore Shallow Profiler - 250 m NE, Oregon Offshore Shallow Profiler - 600 m E","bottle_data, oregon_offshore_fixed_20150108_20260708_1h_qf49_HITL, oregon_offshore_profiles_20150803_20260604_qf49_HITL, oregon_offshore_profiles_20150803_20260604_qf49_HITL_binned_24h"
-19689,9880,44.37881782,-124.9543305,27,bottle,Oregon Offshore Shallow Profiler,Oregon Offshore Shallow Profiler,bottle_data
-19688,9877,44.36534315,-124.9479839,23,bottle,Oregon Offshore Deep Profiler,Oregon Offshore Deep Profiler,bottle_data
-19688,9878,44.36983471,-124.9479839,25,bottle,Oregon Offshore Deep Profiler - 200 m E,Oregon Offshore Deep Profiler - 200 m E,bottle_data
-19688,9879,44.37432627,-124.9479839,85,bottle,"Oregon Offshore Deep Profiler, Oregon Offshore Shallow Profiler - 500 m E","Oregon Offshore Deep Profiler, Oregon Offshore Shallow Profiler - 500 m E",bottle_data
-19587,9937,44.63483651,-124.3069809,20,bottle,"Oregon Shelf BEP, Oregon Shelf BEP - 70 m NE","Oregon Shelf BEP, Oregon Shelf BEP - 70 m NE",bottle_data
-19587,9938,44.63932806,-124.3069809,22,"bottle, zarr","CE02SHBP, Oregon Shelf BEP, Oregon Shelf BEP - 20 m NW","CE02SHBP-LJ01D-06-CTDBPN106-streamed-ctdbp_no_sample, Oregon Shelf BEP, Oregon Shelf BEP - 20 m NW","bottle_data, oregon_shelf_seafloor_fixed_20150101_20260804_1h_qf49_HITL_phadv"
