latitude,longitude,source_file,station_name
44.52883,-125.39183,CEAbottle_Unique_Counts.csv,
44.52883,-125.39183,CEAbottle_Unique_Counts.csv,
44.52883,-125.39183,CEAbottle_Unique_Counts.csv,
44.52883,-125.39183,CEAbottle_Unique_Counts.csv,
44.52883,-125.39183,CEAbottle_Unique_Counts.csv,
44.52883,-125.39183,CEAbottle_Unique_Counts.csv,
44.52883,-125.39183,CEAbottle_Unique_Counts.csv,
44.52883,-125.39183,CEAbottle_Unique_Counts.csv,
44.52883,-125.39183,CEAbottle_Unique_Counts.csv,
44.52883,-125.39183,CEAbottle_Unique_Counts.csv,
44.52883,-125.39183,CEAbottle_Unique_Counts.csv,
44.52883,-125.39183,CEAbottle_Unique_Counts.csv,
44.52883,-125.39183,CEAbottle_Unique_Counts.csv,
44.52883,-125.39183,CEAbottle_Unique_Counts.csv,
44.52883,-125.39183,CEAbottle_Unique_Counts.csv,
44.52883,-125.39183,CEAbottle_Unique_Counts.csv,
44.52883,-125.39183,CEAbottle_Unique_Counts.csv,
44.52883,-125.39183,CEAbottle_Unique_Counts.csv,
44.52883,-125.39183,CEAbottle_Unique_Counts.csv,
44.52883,-125.39183,CEAbottle_Unique_Counts.csv,
44.52883,-125.39183,CEAbottle_Unique_Counts.csv,
44.52883,-125.39183,CEAbottle_Unique_Counts.csv,
44.52883,-125.39183,CEAbottle_Unique_Counts.csv,
44.52883,-125.39183,CEAbottle_Unique_Counts.csv,
44.5299,-125.38754,CEAbottle_Unique_Counts.csv,
44.52892,-125.38904,CEAbottle_Unique_Counts.csv,
44.52895,-125.38899,CEAbottle_Unique_Counts.csv,
44.52895,-125.38894,CEAbottle_Unique_Counts.csv,
44.52883,-125.39567,CEAbottle_Unique_Counts.csv,
44.52883,-125.39567,CEAbottle_Unique_Counts.csv,
44.52883,-125.39567,CEAbottle_Unique_Counts.csv,
44.52883,-125.39567,CEAbottle_Unique_Counts.csv,
44.52883,-125.39567,CEAbottle_Unique_Counts.csv,
44.52883,-125.39567,CEAbottle_Unique_Counts.csv,
44.52883,-125.39567,CEAbottle_Unique_Counts.csv,
44.52883,-125.39567,CEAbottle_Unique_Counts.csv,
44.52883,-125.39567,CEAbottle_Unique_Counts.csv,
44.52883,-125.39567,CEAbottle_Unique_Counts.csv,
44.5276,-125.38057,CEAbottle_Unique_Counts.csv,
44.52766,-125.38065,CEAbottle_Unique_Counts.csv,
44.52769,-125.38065,CEAbottle_Unique_Counts.csv,
44.52761,-125.38067,CEAbottle_Unique_Counts.csv,
44.52733,-125.37433,CEAbottle_Unique_Counts.csv,
44.52733,-125.37433,CEAbottle_Unique_Counts.csv,
44.52733,-125.37433,CEAbottle_Unique_Counts.csv,
44.52733,-125.37433,CEAbottle_Unique_Counts.csv,
44.52733,-125.37433,CEAbottle_Unique_Counts.csv,
44.52733,-125.37433,CEAbottle_Unique_Counts.csv,
44.52733,-125.37433,CEAbottle_Unique_Counts.csv,
44.36833,-124.95279,CEAbottle_Unique_Counts.csv,
44.36834,-124.95283,CEAbottle_Unique_Counts.csv,
44.36832,-124.95281,CEAbottle_Unique_Counts.csv,
