_x_bin,_y_bin,Center_Lat,Center_Lon,n_records,Sources,Station_Names,Source_Names,Source_Files
-395135,198280,44.52939723320158,-125.39268697165208,33,bottle,Slope Base Shallow Profiler - 250 m W,Slope Base Shallow Profiler - 250 m W,bottle_data
-395134,198278,44.52894807761408,-125.39236962986854,24,bottle,Slope Base Shallow Profiler - 250 m W,Slope Base Shallow Profiler - 250 m W,bottle_data
-395134,198279,44.529172655407834,-125.39236962986854,32,bottle,Slope Base Shallow Profiler - 250 m W,Slope Base Shallow Profiler - 250 m W,bottle_data
-395132,198277,44.52872349982034,-125.39173494630144,94,bottle,Slope Base Shallow Profiler - 200 m W,Slope Base Shallow Profiler - 200 m W,bottle_data
-395132,198295,44.5327659001078,-125.39173494630144,25,bottle,Slope Base Shallow Profiler,Slope Base Shallow Profiler,bottle_data
-395129,198280,44.52939723320158,-125.3907829209508,1,bottle,Slope Base Shallow Profiler - 100 m W,Slope Base Shallow Profiler - 100 m W,bottle_data
-395127,198216,44.51502425440172,-125.3901482373837,3,bottle,Slope Base Junction Box LJ01A,Slope Base Junction Box LJ01A,bottle_data
-395127,198217,44.515248832195475,-125.3901482373837,5,bottle,Slope Base Junction Box LJ01A,Slope Base Junction Box LJ01A,bottle_data
-395127,198218,44.51547340998922,-125.3901482373837,2,bottle,Slope Base Junction Box LJ01A - 250 m SW,Slope Base Junction Box LJ01A - 250 m SW,bottle_data
-395127,198219,44.51569798778297,-125.3901482373837,2,bottle,Slope Base Junction Box LJ01A - 250 m SW,Slope Base Junction Box LJ01A - 250 m SW,bottle_data
-395126,198216,44.51502425440172,-125.38983089560016,2,bottle,Slope Base Junction Box LJ01A,Slope Base Junction Box LJ01A,bottle_data
-395126,198217,44.515248832195475,-125.38983089560016,2,bottle,Slope Base Junction Box LJ01A,Slope Base Junction Box LJ01A,bottle_data
-395125,198197,44.51075727632052,-125.3895135538166,39,bottle,Slope Base Junction Box LJ01A - 500 m S,Slope Base Junction Box LJ01A - 500 m S,bottle_data
-395125,198278,44.52894807761408,-125.3895135538166,4,bottle,Slope Base Shallow Profiler,Slope Base Shallow Profiler,bottle_data
